@RELATION svmSMSnorer
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {NotSnoring,Snoring}

@DATA
0.113598,0.011462,2.824619,0.199036,0.196693,0.865349,0.008163,0.160064,-30.593797,1.062422,-0.147168,0.315948,0.017992,0.523381,0.018181,-0.503355,0.316617,0.032509,0.105905,0.029416,-0.067030,0.007024,0.003693,0.006748,0.006044,0.044152,0.006451,0.014126,0.006285,0.009750,0.014749,0.010401,0.007437,0.019499,0.055826,0.015459,0.604661,0.051225,0.027383,0.617604,0.006856,0.119974,4.311408,0.897143,0.607384,0.561924,0.479790,0.383230,0.405726,0.427432,0.424171,0.272212,0.296539,0.272833,0.229847,0.009382,0.006390,0.009065,0.013011,0.050499,0.009601,0.018088,0.009082,0.015432,0.020305,0.014234,0.010471,0.013592,NotSnoring
0.063153,0.189005,3.147293,0.135545,0.161491,0.204517,0.044329,0.069492,-24.976839,-0.826137,-0.996335,1.130781,-0.119573,-0.051666,0.312913,-0.075113,0.149053,-0.052535,0.033867,0.138813,-0.093486,0.005273,0.006720,0.005099,0.006176,0.005875,0.005326,0.005617,0.004473,0.004559,0.006003,0.005691,0.008995,0.015937,0.009426,0.132213,0.167378,0.023253,0.031539,0.155750,0.033725,0.020029,1.421215,0.538585,0.454801,0.350890,0.436535,0.388686,0.542616,0.381751,0.405964,0.489074,0.368299,0.227048,0.180477,0.013472,0.013944,0.013351,0.015361,0.016511,0.015908,0.014869,0.013180,0.013366,0.018270,0.015843,0.026761,0.018197,NotSnoring
0.057509,0.186338,3.026089,0.106208,0.135881,0.105804,0.018226,0.068448,-22.700909,-1.181936,-1.835157,1.029470,0.071699,0.370751,0.126735,-0.409880,0.173399,0.161280,0.014791,0.146776,-0.233900,0.004502,0.002584,0.001925,0.010136,0.003802,0.003327,0.001834,0.002575,0.035383,0.007630,0.007003,0.006466,0.012851,0.010394,0.065219,0.110893,0.016228,0.026326,0.028241,0.008220,0.011795,0.914190,0.665098,0.691396,0.680073,0.644484,0.533311,0.515740,0.420815,0.309443,0.280701,0.214530,0.171497,0.160163,0.004255,0.002953,0.001959,0.013486,0.004262,0.003702,0.001458,0.002477,0.035412,0.009155,0.007586,0.007048,0.008873,NotSnoring
0.057151,0.181631,3.000166,0.111925,0.145850,0.115672,0.022724,0.065753,-22.830875,-1.102819,-1.807339,0.941400,0.133941,0.247453,0.188895,-0.343672,0.188735,0.172325,-0.008477,0.140766,-0.272517,0.004011,0.002946,0.003934,0.006705,0.006377,0.004192,0.001851,0.002138,0.029393,0.011898,0.010513,0.005841,0.011986,0.011747,0.061142,0.085879,0.019068,0.029143,0.052620,0.014271,0.011111,1.393810,0.825841,0.820463,0.836098,0.650325,0.515124,0.565628,0.345674,0.371957,0.262229,0.220511,0.167047,0.142919,0.004229,0.003061,0.004595,0.007988,0.010924,0.005554,0.001731,0.001372,0.029895,0.011593,0.012798,0.006311,0.007251,NotSnoring
0.053489,0.213256,3.138961,0.120648,0.155195,0.148720,0.038668,0.061189,-23.859661,-0.361972,-1.430042,0.568649,0.138545,0.236880,0.040500,-0.199029,0.197890,0.059294,-0.022159,0.117052,-0.110500,0.006472,0.005649,0.006668,0.007246,0.004403,0.003179,0.002289,0.002881,0.025846,0.011292,0.010454,0.008509,0.021062,0.008615,0.118026,0.124848,0.024894,0.035468,0.099779,0.026854,0.014948,1.332981,0.685709,0.457183,0.401984,0.445158,0.419049,0.454350,0.364087,0.387102,0.430285,0.376630,0.269949,0.176381,0.018158,0.012667,0.015848,0.015954,0.011207,0.006769,0.003779,0.005878,0.035709,0.024928,0.024686,0.020725,0.018514,NotSnoring
0.060014,0.194098,3.143635,0.116922,0.143066,0.170614,0.019772,0.069093,-23.074563,-1.118643,-1.826439,1.114277,0.054132,0.064799,0.266230,-0.204528,0.011944,0.007466,0.094423,0.194222,-0.227355,0.005389,0.006008,0.003922,0.008044,0.005637,0.007114,0.005717,0.004396,0.021381,0.005351,0.005412,0.010465,0.013566,0.009244,0.067504,0.088047,0.020135,0.030099,0.068912,0.013245,0.012047,1.047146,0.623833,0.608249,0.554511,0.589643,0.468893,0.395415,0.389340,0.335213,0.274768,0.314363,0.210541,0.160657,0.005624,0.006251,0.005717,0.013381,0.012782,0.014166,0.011852,0.008641,0.033822,0.006977,0.005190,0.013364,0.012317,NotSnoring
0.051779,0.021137,2.913851,0.138043,0.178791,0.205148,0.075072,0.029319,-35.699202,1.586296,-1.641534,-0.166727,-0.271018,-0.148380,-0.173248,0.269086,0.394077,0.070771,-0.103430,-0.236253,0.059926,0.015927,0.019589,0.011735,0.006483,0.042167,0.003459,0.007128,0.001559,0.003976,0.008839,0.016730,0.016466,0.022505,0.055085,0.038532,0.469067,0.109466,0.092901,0.230548,0.174345,0.019662,9.977762,0.867579,1.064789,0.389809,0.511306,0.257440,0.226973,0.298302,0.301943,0.226905,0.244433,0.271542,0.182376,0.016734,0.024120,0.014055,0.010004,0.057537,0.004598,0.010136,0.002271,0.005409,0.012002,0.020525,0.020703,0.012979,NotSnoring
0.085762,0.016412,2.842669,0.143853,0.142520,0.718677,0.007414,0.127151,-30.294158,-1.115726,-1.424573,0.324711,0.595557,-0.288771,-0.185609,0.219469,-0.082698,-0.204874,0.167211,-0.063914,-0.007245,0.008102,0.007278,0.013118,0.016963,0.008100,0.004746,0.003632,0.001711,0.002069,0.005595,0.006164,0.007040,0.010324,0.046579,0.027041,0.437147,0.048861,0.037358,0.445526,0.005164,0.071702,4.889352,1.148714,0.665994,0.384346,0.405043,0.381809,0.342485,0.287148,0.306245,0.249617,0.325163,0.279565,0.203016,0.010125,0.009705,0.013876,0.015743,0.008182,0.005630,0.003425,0.001899,0.002181,0.008220,0.007752,0.014403,0.006640,NotSnoring
0.032976,0.009435,2.985012,0.120604,0.182840,0.085363,0.017632,0.033539,-31.002941,1.608772,-1.268534,0.039843,-0.193729,0.488682,0.316617,0.066700,-0.080513,-0.273016,0.117927,0.161634,-0.204929,0.003871,0.004082,0.023709,0.006779,0.063769,0.017662,0.049411,0.007734,0.002342,0.003721,0.004682,0.002207,0.029031,0.018089,0.017501,0.318188,0.034654,0.040895,0.064144,0.020879,0.021673,3.693829,0.707382,0.651838,0.344881,0.413978,0.266285,0.223550,0.156749,0.220030,0.206901,0.226516,0.178647,0.207105,0.004686,0.004961,0.025161,0.008960,0.048784,0.020504,0.049779,0.010569,0.002181,0.004089,0.005127,0.002410,0.013272,NotSnoring
0.024428,0.051265,2.854036,0.083411,0.147966,0.048675,0.018690,0.034691,-25.771031,2.136259,-1.307100,0.003050,-0.383286,0.016864,-0.008140,0.306445,0.202637,0.150776,-0.013822,0.081290,0.303664,0.015354,0.009218,0.067879,0.004994,0.012223,0.012013,0.093166,0.004818,0.004965,0.007133,0.016498,0.014211,0.039971,0.010705,0.072219,0.333298,0.023723,0.037252,0.039918,0.013083,0.018416,3.233537,0.870651,0.866706,0.385048,0.478345,0.323819,0.406141,0.301217,0.312200,0.345958,0.271351,0.310653,0.270756,0.021088,0.011128,0.078931,0.006146,0.012341,0.018017,0.097269,0.008752,0.006136,0.009208,0.013443,0.020444,0.026212,NotSnoring
