@RELATION svmSMSnorer
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {NotSnoring,Snoring}

@DATA
0.008870,0.007068,3.176328,0.055215,0.090909,0.305219,0.014785,0.005635,-45.057405,0.733913,-0.225174,0.116698,0.096472,0.091614,0.037465,0.005396,0.010824,-0.004483,0.035575,0.041626,0.005087,0.001533,0.000694,0.012098,0.000810,0.138064,0.001215,0.026174,0.001551,0.002337,0.001770,0.002606,0.000896,0.044435,0.009482,0.012552,0.141015,0.037963,0.039681,0.073655,0.041686,0.004218,1.937475,0.327122,0.364782,0.126569,0.082642,0.097271,0.076968,0.077656,0.057442,0.050811,0.058727,0.047666,0.054539,0.002315,0.001124,0.021947,0.000858,0.016008,0.001686,0.030876,0.003189,0.002870,0.002775,0.003063,0.001054,0.006482,NotSnoring
0.010018,0.045057,3.176710,0.061764,0.102295,0.298620,0.023667,0.014047,-43.167714,0.682832,-0.299264,0.068942,0.033442,0.021146,0.020803,0.065036,0.084201,0.088075,-0.064526,0.014994,0.053451,0.002924,0.003607,0.015875,0.001762,0.124681,0.000930,0.010259,0.000915,0.001585,0.002220,0.005470,0.006833,0.039926,0.004911,0.042232,0.189338,0.027690,0.037001,0.074822,0.041053,0.006061,2.263137,0.351443,0.323609,0.143679,0.135362,0.085052,0.094675,0.103831,0.102760,0.086252,0.078335,0.082818,0.076202,0.002448,0.003938,0.022632,0.001636,0.018212,0.001012,0.025744,0.000722,0.001280,0.002475,0.007042,0.006304,0.004940,NotSnoring
0.025163,0.016352,3.059399,0.077768,0.149628,0.023421,0.011765,0.035417,-28.765428,2.852453,-1.927839,-0.138733,-0.238409,-0.166318,0.078612,0.220171,0.186775,0.157227,-0.263359,-0.129964,0.141515,0.017803,0.011622,0.029760,0.014443,0.033473,0.005726,0.032935,0.004388,0.007178,0.006970,0.017528,0.015169,0.021369,0.005737,0.032657,0.213039,0.020035,0.029898,0.015750,0.007970,0.006940,3.178078,0.612653,0.662042,0.588878,0.317310,0.217262,0.197976,0.213847,0.234797,0.204428,0.213623,0.191508,0.161836,0.014124,0.011487,0.025314,0.012468,0.037022,0.005996,0.035507,0.003831,0.008001,0.006047,0.013415,0.015944,0.010085,NotSnoring
0.029324,0.009621,3.081104,0.079138,0.147726,0.028171,0.010699,0.040109,-30.247106,2.655961,-1.848832,0.115665,-0.105014,-0.086837,-0.012729,0.275143,0.084278,-0.031247,-0.234193,0.091597,0.098436,0.014013,0.010865,0.030642,0.016437,0.030093,0.007585,0.041297,0.003413,0.005800,0.010507,0.016400,0.008478,0.019824,0.007140,0.021490,0.176012,0.016424,0.027317,0.012721,0.007201,0.006856,2.690441,0.729550,0.622040,0.303478,0.276917,0.228276,0.200873,0.330396,0.216054,0.220680,0.187647,0.179073,0.182647,0.011188,0.012589,0.018965,0.013421,0.026702,0.005705,0.044243,0.003529,0.004807,0.010933,0.012828,0.011083,0.009059,NotSnoring
0.046289,0.043475,3.231159,0.101355,0.140884,0.201307,0.002976,0.058285,-23.130287,0.960778,-1.038347,0.966521,0.254841,0.194016,0.193199,0.112072,-0.058816,0.662484,0.618421,0.218518,-0.120393,0.002187,0.002277,0.097961,0.005758,0.008703,0.008573,0.021628,0.005760,0.007303,0.004104,0.020059,0.003839,0.028975,0.005846,0.009334,0.044574,0.014388,0.024147,0.053956,0.000952,0.007981,0.376486,0.250897,0.235821,0.221867,0.238890,0.220170,0.212624,0.213231,0.175051,0.233618,0.177571,0.181308,0.172722,0.001877,0.003291,0.034624,0.008834,0.008050,0.010524,0.013540,0.006029,0.005428,0.003636,0.013848,0.002299,0.008937,NotSnoring
0.054147,0.045032,3.223050,0.100126,0.133590,0.251234,0.032302,0.061652,-27.380523,1.005394,-0.263253,1.181346,0.077551,0.231024,0.626250,0.145501,0.199174,0.045791,0.075860,0.128972,0.153088,0.001321,0.002631,0.047665,0.004708,0.023146,0.006639,0.013770,0.006211,0.006876,0.004144,0.014466,0.005632,0.025826,0.011487,0.041803,0.082797,0.025314,0.038419,0.164276,0.052019,0.026885,3.008120,0.455109,0.468076,0.412344,0.427486,0.347409,0.304455,0.390106,0.360246,0.298899,0.385941,0.274392,0.192422,0.001591,0.008182,0.037850,0.011922,0.026056,0.020161,0.018956,0.021611,0.020261,0.009287,0.017220,0.015640,0.014753,NotSnoring
0.045685,0.072332,3.150951,0.094956,0.114576,0.288294,0.013156,0.050009,-30.062134,-0.840099,-1.056998,0.686660,0.148923,-0.315333,0.202654,0.259105,-0.255539,0.054518,0.160474,-0.099895,0.025614,0.001943,0.001675,0.002852,0.014901,0.047546,0.001201,0.001358,0.006943,0.003727,0.000826,0.001273,0.001463,0.018674,0.007864,0.028867,0.153240,0.023165,0.032101,0.088427,0.026336,0.012891,1.771643,0.340026,0.254268,0.334681,0.246604,0.337371,0.226291,0.185012,0.204166,0.269628,0.337161,0.192390,0.186549,0.003944,0.002743,0.004934,0.018198,0.025634,0.001180,0.001690,0.008300,0.004063,0.001591,0.002615,0.002240,0.007818,NotSnoring
0.053770,0.139078,3.258857,0.125383,0.162200,0.208118,0.033383,0.063430,-24.707269,-0.388512,-1.783351,0.215186,0.453070,-0.026881,-0.418122,0.308171,-0.181487,-0.020338,0.194097,-0.119219,-0.037730,0.009447,0.011665,0.010086,0.014545,0.011148,0.013941,0.007823,0.005333,0.007884,0.008276,0.006669,0.008641,0.027898,0.009169,0.040935,0.039641,0.023195,0.036207,0.112061,0.025369,0.012092,1.449518,0.813575,0.369132,0.421742,0.369998,0.398778,0.303754,0.259997,0.329076,0.399459,0.357689,0.214370,0.150228,0.025803,0.029643,0.027094,0.040754,0.027283,0.026393,0.019285,0.010855,0.016192,0.018042,0.016351,0.018936,0.025477,NotSnoring
0.053426,0.048069,3.200527,0.105528,0.118462,0.543140,0.015432,0.079864,-32.310150,-0.153179,-0.767593,-0.649694,-0.641715,0.111463,0.286973,0.131208,0.102215,0.075954,-0.289301,-0.074600,0.173269,0.006459,0.014575,0.009873,0.006409,0.037301,0.006286,0.007240,0.009513,0.007405,0.006586,0.005304,0.007003,0.024342,0.043428,0.018364,0.127307,0.037813,0.038082,0.167060,0.030740,0.012688,1.838911,0.552874,0.347973,0.227915,0.339544,0.299211,0.268327,0.255915,0.205218,0.227960,0.299907,0.259726,0.177080,0.006711,0.013954,0.013229,0.010213,0.013844,0.012432,0.014497,0.016814,0.014659,0.014838,0.011287,0.013900,0.012412,NotSnoring
0.054197,0.180435,3.274860,0.115346,0.130170,0.359385,0.024348,0.073548,-23.732731,-1.815021,-1.652089,0.825059,0.641056,-0.751959,0.005666,0.246024,-0.310531,0.402690,-0.263316,-0.032948,0.070054,0.007236,0.006756,0.008446,0.008240,0.006888,0.009143,0.008538,0.009198,0.010389,0.005678,0.003223,0.006292,0.012551,0.006140,0.050540,0.026373,0.016550,0.033997,0.193799,0.012645,0.021408,1.258179,0.853292,0.395717,0.654283,0.681913,0.523219,0.752591,0.415562,0.456942,0.569826,0.517192,0.274328,0.151361,0.013092,0.010960,0.014811,0.013166,0.010503,0.012301,0.011464,0.013013,0.021093,0.012566,0.006737,0.012682,0.003970,NotSnoring
0.028475,0.066133,3.271381,0.095597,0.154261,0.219291,0.004954,0.048249,-23.938045,1.799604,-0.773906,-0.969858,-0.797191,0.180603,-0.081648,0.504974,0.172635,0.192787,-0.232228,-0.189213,-0.042376,0.008379,0.014306,0.020747,0.005644,0.005385,0.004270,0.021132,0.000878,0.009649,0.005846,0.007426,0.006696,0.016423,0.009797,0.041276,0.034310,0.024567,0.042552,0.165097,0.003480,0.024346,0.606743,0.563195,0.272695,0.248846,0.226631,0.215740,0.219223,0.190109,0.195106,0.190734,0.224928,0.200244,0.157239,0.013294,0.014736,0.009267,0.005967,0.007361,0.005862,0.014960,0.000941,0.011692,0.010026,0.013284,0.013578,0.007174,NotSnoring
0.034020,0.009660,3.039040,0.057083,0.051338,0.356266,0.003478,0.048784,-42.774624,-0.459548,-0.059858,-0.145102,0.154547,0.271313,-0.155793,0.028023,0.078359,-0.010061,-0.010589,0.012668,0.011222,0.002819,0.001713,0.000893,0.001433,0.112082,0.000589,0.000627,0.001143,0.001057,0.004179,0.004546,0.003525,0.034131,0.015148,0.009130,0.121452,0.024516,0.022163,0.141097,0.005606,0.020044,2.595608,0.404260,0.220679,0.227886,0.169390,0.157511,0.144511,0.141427,0.204075,0.108321,0.119387,0.071188,0.104448,0.004865,0.003748,0.002504,0.002886,0.015762,0.000956,0.000878,0.001673,0.001760,0.007598,0.004974,0.003499,0.006001,NotSnoring
0.030331,0.022941,3.169850,0.055249,0.070379,0.170948,0.010471,0.033857,-38.730386,0.209174,-0.783247,0.221902,-0.167437,0.213626,-0.056227,-0.325613,0.145308,0.007266,-0.188797,0.020128,-0.025135,0.002089,0.000755,0.001963,0.002044,0.090774,0.005893,0.002634,0.001271,0.002461,0.012227,0.014333,0.005859,0.033715,0.011795,0.016896,0.162527,0.023364,0.027984,0.096136,0.022485,0.009918,2.598287,0.423011,0.324884,0.135448,0.165314,0.136085,0.177331,0.174944,0.226221,0.141309,0.131591,0.079154,0.100839,0.003577,0.001085,0.004024,0.004160,0.017254,0.014950,0.004329,0.002336,0.004273,0.017806,0.023477,0.007029,0.010183,NotSnoring
0.032804,0.011110,3.089348,0.058387,0.067582,0.263833,0.010050,0.040073,-40.456679,-0.555702,-0.741930,0.208777,0.330341,0.146566,-0.295645,0.057735,0.157933,0.005968,-0.052962,0.005050,0.119584,0.012051,0.007756,0.003008,0.003114,0.091362,0.000733,0.002770,0.001249,0.001190,0.002945,0.002541,0.008699,0.031909,0.025739,0.010870,0.250757,0.037243,0.045262,0.182908,0.025869,0.019781,2.492560,0.543595,0.406966,0.212813,0.184606,0.187224,0.151648,0.167333,0.162073,0.172808,0.131629,0.124493,0.091019,0.015867,0.012221,0.004124,0.003918,0.022932,0.001696,0.006373,0.001710,0.001614,0.007201,0.004842,0.015099,0.009558,NotSnoring
0.030771,0.065359,3.220448,0.084090,0.137640,0.090011,0.006711,0.041760,-23.913635,1.506739,-1.203398,-0.397599,-0.788843,0.377989,0.479969,0.359211,0.062830,-0.154124,-0.122545,0.304156,-0.012083,0.006639,0.010449,0.012707,0.011778,0.020307,0.007703,0.012496,0.006741,0.006151,0.004496,0.005457,0.004587,0.016106,0.004814,0.025061,0.053763,0.022514,0.041431,0.055668,0.003809,0.012915,0.457836,0.292363,0.247167,0.253160,0.196796,0.224137,0.275069,0.260135,0.258659,0.292302,0.222510,0.151429,0.168094,0.009394,0.014722,0.012020,0.017943,0.018301,0.006589,0.013931,0.011429,0.008509,0.006246,0.006883,0.005390,0.009498,NotSnoring
0.037505,0.064853,3.187992,0.089338,0.139753,0.347008,0.004468,0.063094,-22.287594,1.623705,0.059328,0.721098,0.061483,0.279866,0.296726,0.431602,-0.169743,-0.073620,-0.018004,0.087973,0.006906,0.006924,0.003093,0.031100,0.004895,0.011706,0.007377,0.092259,0.000879,0.003264,0.007997,0.092716,0.001025,0.035954,0.009559,0.023155,0.056810,0.019254,0.035019,0.103818,0.001399,0.016305,0.246526,0.188946,0.164443,0.148494,0.156112,0.139263,0.176172,0.173110,0.210174,0.148602,0.206119,0.135079,0.165484,0.005383,0.002607,0.014892,0.003947,0.006936,0.007073,0.040887,0.000683,0.003334,0.006380,0.034785,0.000698,0.009428,NotSnoring
0.063675,0.043898,3.268292,0.108323,0.133000,0.488803,0.004683,0.092486,-23.419183,0.428155,-0.555783,0.156732,-0.378576,0.191689,0.443236,0.630858,0.072181,-0.027579,-0.020191,0.046942,0.043409,0.022683,0.012526,0.009854,0.001448,0.010898,0.027375,0.010040,0.002858,0.001917,0.001147,0.003347,0.008542,0.014933,0.009118,0.017189,0.027742,0.014100,0.026129,0.128237,0.001690,0.011011,0.481313,0.248015,0.283936,0.220167,0.256704,0.253412,0.246034,0.192614,0.415736,0.280981,0.294778,0.174676,0.200995,0.020256,0.011616,0.006526,0.000815,0.010861,0.021150,0.007522,0.003237,0.001930,0.000671,0.001601,0.008231,0.006735,NotSnoring
0.030349,0.070483,3.251664,0.071639,0.127186,0.055132,0.005692,0.042849,-23.004106,2.273551,-0.793797,0.308647,-0.041932,0.384777,-0.089212,0.202184,0.202334,0.442938,0.344203,0.019192,0.055667,0.002967,0.001848,0.020420,0.002208,0.008418,0.014006,0.038374,0.009273,0.017342,0.016023,0.025846,0.035533,0.027843,0.003871,0.022546,0.043709,0.022908,0.043197,0.027053,0.002597,0.007390,0.345546,0.372930,0.299619,0.325496,0.272208,0.236200,0.224214,0.244148,0.210035,0.215357,0.199826,0.225805,0.211392,0.002385,0.002195,0.016190,0.001743,0.006699,0.012427,0.028866,0.010822,0.013457,0.015086,0.020521,0.024945,0.010522,NotSnoring
0.024877,0.391581,3.310575,0.093272,0.152084,0.135754,0.002129,0.048530,-20.987365,1.782800,-0.677620,-0.349361,-0.832576,-0.756241,-0.428874,-0.002921,0.321517,0.723742,0.310287,-0.276688,-0.284230,0.004667,0.001845,0.001352,0.001301,0.002382,0.002475,0.001665,0.000468,0.002809,0.030956,0.117218,0.031501,0.038507,0.008026,0.074843,0.011362,0.023494,0.035176,0.057801,0.001435,0.011778,0.455062,0.409783,0.304579,0.330351,0.273353,0.307742,0.320949,0.236836,0.216538,0.214761,0.185739,0.172811,0.158692,0.000969,0.000523,0.000421,0.000652,0.001075,0.001254,0.000772,0.000533,0.002605,0.012939,0.027045,0.006694,0.006727,NotSnoring
0.038888,0.055882,3.261887,0.096310,0.140227,0.186819,0.004885,0.059519,-23.747499,1.506593,-0.859373,-0.573856,-0.492500,0.174494,-0.778135,-0.734928,0.242262,0.295885,0.328911,0.166846,0.021076,0.003703,0.001580,0.002296,0.001220,0.006440,0.029408,0.020688,0.012504,0.024044,0.022881,0.052276,0.009811,0.035598,0.007620,0.014993,0.036923,0.025074,0.040075,0.061891,0.002659,0.014716,0.482564,0.401399,0.257732,0.355691,0.198412,0.285127,0.245462,0.216127,0.185204,0.211628,0.178157,0.177099,0.168449,0.004040,0.002200,0.002102,0.000818,0.006797,0.018572,0.012820,0.018128,0.024433,0.016146,0.017698,0.005117,0.012719,NotSnoring
0.021915,0.020465,2.806128,0.127121,0.203594,0.135041,0.030787,0.014274,-30.531976,2.205994,0.622944,0.568603,0.294279,0.327016,0.006346,0.196870,0.062393,0.087366,0.068135,0.052792,0.066851,0.001937,0.000271,0.079136,0.001255,0.053767,0.000804,0.137998,0.000163,0.000531,0.013059,0.042461,0.000356,0.058933,0.014642,0.011833,0.240378,0.029669,0.023875,0.088058,0.031776,0.011938,2.019274,0.339837,0.334061,0.180681,0.132300,0.154660,0.182460,0.135930,0.123615,0.118095,0.113186,0.106784,0.120318,0.001969,0.000265,0.074643,0.001254,0.041031,0.000885,0.083343,0.000125,0.000464,0.014007,0.028488,0.000307,0.018010,Snoring
0.079823,0.032479,3.084107,0.212650,0.240184,0.516018,0.005558,0.079991,-27.909908,2.155589,0.122485,0.081297,0.421076,0.566673,-0.002539,-0.082264,-0.140938,-0.030976,-0.092405,0.044471,0.073839,0.026779,0.000637,0.077182,0.009259,0.034174,0.003882,0.114342,0.003444,0.003637,0.007299,0.022541,0.001534,0.047596,0.027830,0.023613,0.168370,0.030931,0.011971,0.238129,0.003840,0.065938,1.312873,0.401646,0.267299,0.248010,0.219972,0.215058,0.174410,0.173796,0.183715,0.155696,0.168137,0.158978,0.152131,0.035686,0.000419,0.054866,0.013906,0.026322,0.003536,0.064637,0.004109,0.003609,0.005975,0.019344,0.001528,0.012514,Snoring
0.134174,0.010952,3.164826,0.236392,0.233308,1.110594,0.004847,0.258711,-30.901130,2.122501,0.281686,0.234304,0.237390,0.263096,0.054525,-0.012317,-0.073696,-0.011888,-0.068306,0.019115,0.056868,0.022023,0.002048,0.051612,0.011629,0.025673,0.007109,0.054595,0.001799,0.005224,0.012637,0.024208,0.002605,0.024151,0.054372,0.016783,0.125276,0.052808,0.017116,0.516107,0.004497,0.137977,2.030399,0.675432,0.221128,0.236486,0.200410,0.217625,0.179620,0.177365,0.203409,0.167091,0.171702,0.148935,0.153317,0.027904,0.001499,0.027637,0.009816,0.019051,0.006538,0.030919,0.001417,0.003977,0.011772,0.021012,0.002097,0.008362,Snoring
0.088321,0.024950,2.982875,0.239253,0.239973,0.627231,0.003954,0.073403,-25.431836,1.669179,0.768203,0.527696,0.732434,0.288234,0.312872,0.304185,0.231841,0.122365,0.173269,0.118629,0.071092,0.008753,0.000485,0.103018,0.002784,0.032409,0.000985,0.094186,0.000325,0.000907,0.005951,0.070199,0.000741,0.047877,0.028149,0.018596,0.152121,0.024932,0.009408,0.262743,0.001834,0.062546,0.684359,0.414281,0.256935,0.222724,0.157679,0.182886,0.233675,0.197030,0.198115,0.146538,0.158465,0.156297,0.156332,0.014112,0.000353,0.055032,0.005058,0.025202,0.000839,0.057940,0.000267,0.001006,0.009363,0.049455,0.000876,0.009442,Snoring
0.040544,0.018296,2.929403,0.172261,0.233875,0.219148,0.006232,0.024800,-27.782522,2.225918,-0.249571,0.029819,0.777624,0.345574,0.243016,0.554944,-0.145283,0.040112,-0.112956,-0.047777,0.104224,0.006092,0.001822,0.052321,0.004656,0.033966,0.002957,0.180882,0.001542,0.001309,0.007960,0.032447,0.001761,0.058411,0.018513,0.011737,0.218370,0.033027,0.024028,0.091407,0.004510,0.015481,2.563535,0.370400,0.357497,0.223697,0.245145,0.175917,0.158663,0.229597,0.210829,0.159254,0.162122,0.164003,0.124785,0.005139,0.001807,0.042896,0.003759,0.029724,0.002510,0.105813,0.001686,0.001293,0.008186,0.042038,0.001550,0.020588,Snoring
0.219642,0.000913,3.213207,0.327556,0.266227,1.581929,0.001348,0.504501,-30.258787,1.329233,-0.016118,0.858525,0.328407,0.327602,-0.098739,0.380382,0.197064,-0.253097,0.017485,0.192415,0.037245,0.011724,0.004231,0.071255,0.006127,0.008066,0.002108,0.020255,0.001157,0.001658,0.011539,0.012522,0.004736,0.020496,0.049557,0.001925,0.099034,0.049638,0.018508,0.320798,0.000598,0.153831,1.526005,0.500427,0.336742,0.232685,0.196479,0.186561,0.299610,0.192394,0.187087,0.165681,0.213268,0.189967,0.154250,0.008775,0.003904,0.037118,0.004348,0.005098,0.001445,0.011403,0.000762,0.001143,0.008575,0.007841,0.004508,0.009239,Snoring
0.103557,0.011212,3.176685,0.168182,0.171882,0.995595,0.003378,0.161289,-25.722115,0.622852,-0.550628,-0.141123,0.384516,-0.217180,-0.263066,0.250035,-0.157321,0.192802,0.015142,0.062109,-0.050948,0.011931,0.008820,0.023129,0.011665,0.011062,0.007754,0.014613,0.005504,0.010239,0.008266,0.012756,0.005974,0.012220,0.032652,0.010595,0.158361,0.022578,0.014581,0.367060,0.002668,0.073894,2.177332,0.494703,0.557430,0.427081,0.301663,0.240237,0.225842,0.256583,0.245225,0.239064,0.275653,0.224103,0.165954,0.011526,0.008792,0.027998,0.015422,0.010886,0.009201,0.013692,0.005531,0.012079,0.008213,0.014605,0.006173,0.009378,Snoring
0.015662,0.058054,3.023082,0.119216,0.206648,0.064425,0.014705,0.009719,-27.084338,3.196065,0.635838,0.309060,0.275480,0.355062,0.240547,0.019444,-0.265566,0.076603,0.046570,0.127118,0.017351,0.007703,0.000301,0.068825,0.003835,0.057747,0.005311,0.139079,0.000421,0.001599,0.009665,0.012692,0.000629,0.054643,0.009021,0.025200,0.201955,0.019877,0.015078,0.051765,0.012274,0.006323,1.626217,0.360727,0.212082,0.229121,0.180423,0.207065,0.130563,0.164992,0.258861,0.146717,0.149315,0.123571,0.136210,0.009519,0.000382,0.068299,0.003370,0.045671,0.005569,0.091165,0.000531,0.001830,0.009759,0.010678,0.001001,0.016674,Snoring
0.062931,0.006471,2.853337,0.202709,0.244692,0.302384,0.005307,0.034419,-33.110990,2.755665,0.593553,0.524889,0.577440,0.239656,0.036931,0.020146,0.084407,-0.018393,-0.001084,0.033610,0.126125,0.007542,0.001193,0.071296,0.008752,0.046980,0.003361,0.141709,0.000471,0.001738,0.008021,0.038161,0.002207,0.048106,0.023425,0.009220,0.222236,0.026906,0.020179,0.195533,0.002507,0.036691,2.255708,0.313379,0.385784,0.233290,0.217423,0.166862,0.139103,0.140907,0.158041,0.165931,0.168284,0.132451,0.144190,0.006327,0.001446,0.043167,0.007754,0.028209,0.003124,0.073387,0.000449,0.001601,0.006314,0.031328,0.002479,0.014688,Snoring
0.059982,0.007781,2.837663,0.196640,0.238555,0.261746,0.004712,0.028203,-33.642183,2.925117,0.420938,0.474690,0.693795,0.252218,-0.045077,0.062886,0.127875,-0.019683,-0.107552,-0.016550,0.168673,0.009174,0.001418,0.056656,0.013837,0.050280,0.003316,0.151396,0.000617,0.001662,0.009926,0.026288,0.003622,0.047208,0.020529,0.007076,0.244661,0.029036,0.024810,0.170735,0.001922,0.031428,2.270932,0.366724,0.500057,0.240420,0.234042,0.203314,0.216826,0.166180,0.160724,0.152798,0.156309,0.147539,0.129320,0.007052,0.002406,0.032631,0.010412,0.030147,0.003025,0.065609,0.000795,0.001764,0.007281,0.019295,0.003516,0.014944,Snoring
0.008430,0.010738,2.789702,0.082363,0.171683,0.029683,0.025966,0.007677,-32.557213,3.100178,0.634438,0.723532,0.338158,0.316299,0.133802,0.168947,-0.149888,-0.025032,-0.032903,0.017691,0.069844,0.008893,0.000280,0.072306,0.008063,0.044256,0.002819,0.140123,0.000208,0.000822,0.007113,0.061422,0.000298,0.053913,0.004642,0.016752,0.291575,0.028423,0.038604,0.028679,0.017563,0.002946,3.075005,0.571069,0.406851,0.232573,0.196637,0.198124,0.180988,0.187691,0.243624,0.179720,0.163207,0.160295,0.165431,0.012183,0.000251,0.049706,0.011289,0.032105,0.004273,0.088631,0.000296,0.000837,0.007110,0.055132,0.000275,0.019588,Snoring
0.011003,0.030031,2.775339,0.078817,0.162658,0.056460,0.023698,0.010962,-29.853916,3.099435,0.725187,0.788995,0.437912,0.363730,0.091095,0.246271,-0.229395,-0.065798,-0.041787,-0.000610,0.051246,0.010799,0.000440,0.094163,0.008200,0.039083,0.002772,0.122720,0.000436,0.000814,0.013569,0.046036,0.000356,0.049534,0.006332,0.033350,0.423022,0.027897,0.036924,0.059516,0.024210,0.005740,3.197718,0.483377,0.432317,0.256324,0.231304,0.171248,0.142553,0.182313,0.225024,0.165649,0.137515,0.137173,0.141748,0.009931,0.000490,0.058768,0.008879,0.029811,0.002913,0.078705,0.000646,0.000866,0.016158,0.039791,0.000406,0.015780,Snoring
0.073598,0.002562,2.817861,0.169095,0.217955,0.417224,0.027590,0.101715,-31.464842,2.149434,-0.104614,0.539967,0.180090,0.061073,0.501036,0.092709,-0.050324,0.077100,0.095260,-0.107268,0.108545,0.002079,0.000535,0.083844,0.001548,0.057397,0.001397,0.150405,0.000851,0.000749,0.002386,0.009889,0.000540,0.055443,0.050214,0.005031,0.249468,0.049747,0.019322,0.300163,0.026846,0.092335,1.669659,0.476942,0.329278,0.229052,0.175044,0.190751,0.236294,0.135680,0.155483,0.144808,0.139380,0.143149,0.140364,0.002322,0.000721,0.069360,0.001692,0.040663,0.001383,0.094117,0.001511,0.000838,0.004463,0.013152,0.000765,0.020016,Snoring
0.045023,0.000618,2.927773,0.155916,0.206978,0.356942,0.007299,0.042142,-34.811233,1.995386,0.397747,0.426715,0.332261,0.387671,0.178266,0.270547,-0.242346,0.041611,-0.048685,-0.068232,0.020877,0.019290,0.001012,0.057539,0.004617,0.042986,0.003601,0.102382,0.000877,0.001191,0.012036,0.041220,0.001106,0.042242,0.017338,0.001153,0.246355,0.018469,0.018542,0.190160,0.004407,0.034269,2.302884,0.377772,0.327312,0.221839,0.232956,0.272326,0.289020,0.220451,0.276355,0.158625,0.166457,0.124475,0.134851,0.017155,0.001106,0.041588,0.004880,0.026310,0.002938,0.068729,0.000776,0.000862,0.014477,0.035496,0.000999,0.012712,Snoring
0.047967,0.015777,2.706087,0.132845,0.181739,0.368627,0.006400,0.061588,-26.229447,2.532421,0.216567,0.356590,-0.002618,0.538235,0.421393,0.356556,-0.366479,0.075609,-0.180810,0.111666,-0.139692,0.014073,0.001699,0.060688,0.008778,0.028081,0.004931,0.082960,0.001358,0.001775,0.019688,0.062966,0.001932,0.038196,0.026792,0.007945,0.290110,0.033359,0.020169,0.285528,0.004560,0.047365,1.258766,0.543275,0.226868,0.183733,0.169831,0.239467,0.198796,0.162718,0.153217,0.156756,0.119862,0.107877,0.125326,0.011290,0.001495,0.037829,0.006063,0.019695,0.002781,0.064304,0.000893,0.001155,0.019040,0.039368,0.001448,0.013461,Snoring
